Match Number,Round Number,Date,Location,Home Team,Away Team,Result
178,3,15/04/2021 16:35,Oriole Park at Camden Yards,Baltimore Orioles,Seattle Mariners,2 - 4
179,3,15/04/2021 16:40,Oriole Park at Camden Yards,Baltimore Orioles,Seattle Mariners,1 - 2
180,3,15/04/2021 17:10,Target Field,Minnesota Twins,Boston Red Sox,4 - 3
181,3,15/04/2021 18:10,Guaranteed Rate Field,Chicago White Sox,Cleveland Indians,2 - 4
182,3,15/04/2021 23:05,Nationals Park,Washington Nationals,Arizona Diamondbacks,6 - 11
183,3,15/04/2021 23:10,Tropicana Field,Tampa Bay Rays,Texas Rangers,4 - 6
184,3,16/04/2021 00:10,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,7 - 5
185,3,16/04/2021 01:40,Oakland Coliseum,Oakland Athletics,Detroit Tigers,8 - 4
186,3,16/04/2021 02:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,7 - 5
187,3,16/04/2021 18:20,Wrigley Field,Chicago Cubs,Atlanta Braves,2 - 5
188,3,16/04/2021 23:05,Nationals Park,Washington Nationals,Arizona Diamondbacks,1 - 0
189,3,16/04/2021 23:05,Citizens Bank Park,Philadelphia Phillies,St. Louis Cardinals,9 - 2
190,3,16/04/2021 23:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,2 - 8
191,3,16/04/2021 23:10,Great American Ball Park,Cincinnati Reds,Cleveland Indians,10 - 3
192,3,16/04/2021 23:10,loanDepot park,Miami Marlins,San Francisco Giants,4 - 1
193,3,17/04/2021 00:05,Globe Life Field,Texas Rangers,Baltimore Orioles,2 - 5
194,3,17/04/2021 00:10,American Family Field,Milwaukee Brewers,Pittsburgh Pirates,1 - 6
195,3,17/04/2021 01:38,Angel Stadium,Los Angeles Angels,Minnesota Twins,10 - 3
196,3,17/04/2021 01:40,Oakland Coliseum,Oakland Athletics,Detroit Tigers,3 - 0
197,3,17/04/2021 02:10,Petco Park,San Diego Padres,Los Angeles Dodgers,6 - 11
198,3,17/04/2021 02:10,T-Mobile Park,Seattle Mariners,Houston Astros,6 - 5
199,3,17/04/2021 17:05,Nationals Park,Washington Nationals,Arizona Diamondbacks,6 - 2
200,3,17/04/2021 17:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,3 - 6
201,3,17/04/2021 18:10,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,1 - 5
203,3,17/04/2021 18:20,Wrigley Field,Chicago Cubs,Atlanta Braves,13 - 4
204,3,17/04/2021 20:05,Citizens Bank Park,Philadelphia Phillies,St. Louis Cardinals,4 - 9
205,3,17/04/2021 20:05,Fenway Park,Boston Red Sox,Chicago White Sox,7 - 4
206,3,17/04/2021 20:07,Oakland Coliseum,Oakland Athletics,Detroit Tigers,7 - 0
207,3,17/04/2021 20:10,Great American Ball Park,Cincinnati Reds,Cleveland Indians,3 - 2
208,3,17/04/2021 21:10,Coors Field,Colorado Rockies,New York Mets,3 - 4
209,3,17/04/2021 21:15,Coors Field,Colorado Rockies,New York Mets,7 - 2
202,3,17/04/2021 22:10,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,3 - 2
210,3,17/04/2021 22:10,loanDepot park,Miami Marlins,San Francisco Giants,7 - 6
211,3,17/04/2021 23:05,Globe Life Field,Texas Rangers,Baltimore Orioles,1 - 6
212,3,17/04/2021 23:10,American Family Field,Milwaukee Brewers,Pittsburgh Pirates,7 - 1
213,3,18/04/2021 00:40,Petco Park,San Diego Padres,Los Angeles Dodgers,0 - 2
214,3,18/04/2021 01:10,T-Mobile Park,Seattle Mariners,Houston Astros,0 - 1
215,3,18/04/2021 17:05,Nationals Park,Washington Nationals,Arizona Diamondbacks,2 - 5
216,3,18/04/2021 17:05,Citizens Bank Park,Philadelphia Phillies,St. Louis Cardinals,2 - 0
217,3,18/04/2021 17:05,Yankee Stadium,New York Yankees,Tampa Bay Rays,2 - 4
218,3,18/04/2021 17:10,Great American Ball Park,Cincinnati Reds,Cleveland Indians,3 - 6
219,3,18/04/2021 17:10,Fenway Park,Boston Red Sox,Chicago White Sox,2 - 3
221,3,18/04/2021 17:10,loanDepot park,Miami Marlins,San Francisco Giants,0 - 1
222,3,18/04/2021 18:10,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,2 - 0
223,3,18/04/2021 18:10,American Family Field,Milwaukee Brewers,Pittsburgh Pirates,5 - 6
224,3,18/04/2021 18:35,Globe Life Field,Texas Rangers,Baltimore Orioles,1 - 0
225,3,18/04/2021 19:10,Coors Field,Colorado Rockies,New York Mets,1 - 2
226,3,18/04/2021 20:07,Oakland Coliseum,Oakland Athletics,Detroit Tigers,3 - 2
227,3,18/04/2021 20:10,Petco Park,San Diego Padres,Los Angeles Dodgers,5 - 2
228,3,18/04/2021 20:10,T-Mobile Park,Seattle Mariners,Houston Astros,7 - 2
220,3,18/04/2021 21:10,Fenway Park,Boston Red Sox,Chicago White Sox,1 - 5
229,3,18/04/2021 23:08,Wrigley Field,Chicago Cubs,Atlanta Braves,4 - 13
230,3,19/04/2021 15:10,Fenway Park,Boston Red Sox,Chicago White Sox,11 - 4
231,3,19/04/2021 23:05,Nationals Park,Washington Nationals,St. Louis Cardinals,5 - 12
232,3,19/04/2021 23:05,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,0 - 2
233,3,20/04/2021 00:10,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,1 - 4
234,3,20/04/2021 01:38,Angel Stadium,Los Angeles Angels,Texas Rangers,4 - 6
235,3,20/04/2021 02:10,T-Mobile Park,Seattle Mariners,Los Angeles Dodgers,4 - 3
236,3,20/04/2021 02:10,Petco Park,San Diego Padres,Milwaukee Brewers,1 - 3
237,3,20/04/2021 20:10,T-Mobile Park,Seattle Mariners,Los Angeles Dodgers,0 - 1
238,3,20/04/2021 22:10,Progressive Field,Cleveland Indians,Chicago White Sox,5 - 8
239,3,20/04/2021 22:30,Oakland Coliseum,Oakland Athletics,Minnesota Twins,7 - 0
240,3,20/04/2021 22:35,Oakland Coliseum,Oakland Athletics,Minnesota Twins,1 - 0
241,3,20/04/2021 22:35,Yankee Stadium,New York Yankees,Atlanta Braves,3 - 1
242,3,20/04/2021 22:40,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,4 - 5
243,3,20/04/2021 22:40,loanDepot park,Miami Marlins,Baltimore Orioles,5 - 7
244,3,20/04/2021 23:05,Nationals Park,Washington Nationals,St. Louis Cardinals,3 - 2
245,3,20/04/2021 23:05,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,7 - 10
246,3,20/04/2021 23:10,Fenway Park,Boston Red Sox,Toronto Blue Jays,4 - 2
247,3,20/04/2021 23:40,Wrigley Field,Chicago Cubs,New York Mets,3 - 1
248,3,21/04/2021 00:10,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,7 - 14
249,3,21/04/2021 00:40,Coors Field,Colorado Rockies,Houston Astros,6 - 2
250,3,21/04/2021 01:38,Angel Stadium,Los Angeles Angels,Texas Rangers,6 - 2
251,3,21/04/2021 02:10,Petco Park,San Diego Padres,Milwaukee Brewers,0 - 6
252,4,21/04/2021 17:05,Citizens Bank Park,Philadelphia Phillies,San Francisco Giants,6 - 5
253,4,21/04/2021 17:10,loanDepot park,Miami Marlins,Baltimore Orioles,3 - 0
254,4,21/04/2021 18:10,Comerica Park,Detroit Tigers,Pittsburgh Pirates,2 - 3
256,4,21/04/2021 19:10,Coors Field,Colorado Rockies,Houston Astros,6 - 3
257,4,21/04/2021 19:37,Oakland Coliseum,Oakland Athletics,Minnesota Twins,13 - 12
258,4,21/04/2021 20:05,Nationals Park,Washington Nationals,St. Louis Cardinals,1 - 0
259,4,21/04/2021 20:07,Angel Stadium,Los Angeles Angels,Texas Rangers,4 - 7
260,4,21/04/2021 20:10,Petco Park,San Diego Padres,Milwaukee Brewers,2 - 4
261,4,21/04/2021 21:10,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,4 - 5
262,4,21/04/2021 22:35,Yankee Stadium,New York Yankees,Atlanta Braves,1 - 4
255,4,21/04/2021 22:40,Comerica Park,Detroit Tigers,Pittsburgh Pirates,5 - 2
263,4,21/04/2021 22:50,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,5 - 8
264,4,21/04/2021 23:10,Fenway Park,Boston Red Sox,Toronto Blue Jays,3 - 6
265,4,21/04/2021 23:40,Wrigley Field,Chicago Cubs,New York Mets,16 - 4
266,4,22/04/2021 00:10,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,9 - 8
267,4,22/04/2021 16:35,Great American Ball Park,Cincinnati Reds,Arizona Diamondbacks,11 - 14
268,4,22/04/2021 17:10,Comerica Park,Detroit Tigers,Pittsburgh Pirates,2 - 4
269,4,22/04/2021 22:10,Progressive Field,Cleveland Indians,New York Yankees,3 - 6
270,4,22/04/2021 23:10,Fenway Park,Boston Red Sox,Seattle Mariners,3 - 7
271,4,22/04/2021 23:40,Wrigley Field,Chicago Cubs,New York Mets,4 - 3
272,4,23/04/2021 00:10,Minute Maid Park,Houston Astros,Los Angeles Angels,8 - 2
273,4,23/04/2021 01:45,Oracle Park,San Francisco Giants,Miami Marlins,3 - 0
274,4,23/04/2021 02:10,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,2 - 3
275,4,23/04/2021 18:20,Wrigley Field,Chicago Cubs,Milwaukee Brewers,15 - 2
276,4,23/04/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Oakland Athletics,1 - 3
277,4,23/04/2021 23:10,Comerica Park,Detroit Tigers,Kansas City Royals,2 - 6
278,4,23/04/2021 23:10,Citi Field,New York Mets,Washington Nationals,6 - 0
279,4,23/04/2021 23:10,Fenway Park,Boston Red Sox,Seattle Mariners,6 - 5
280,4,23/04/2021 23:10,Tropicana Field,Tampa Bay Rays,Toronto Blue Jays,3 - 5
281,4,23/04/2021 23:10,Progressive Field,Cleveland Indians,New York Yankees,3 - 5
282,4,23/04/2021 23:20,Truist Park,Atlanta Braves,Arizona Diamondbacks,5 - 4
283,4,24/04/2021 00:10,Minute Maid Park,Houston Astros,Los Angeles Angels,5 - 4
284,4,24/04/2021 00:10,Target Field,Minnesota Twins,Pittsburgh Pirates,2 - 0
285,4,24/04/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Texas Rangers,9 - 7
286,4,24/04/2021 00:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,5 - 4
287,4,24/04/2021 00:40,Coors Field,Colorado Rockies,Philadelphia Phillies,5 - 4
288,4,24/04/2021 01:45,Oracle Park,San Francisco Giants,Miami Marlins,5 - 3
289,4,24/04/2021 02:10,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,1 - 6
290,4,24/04/2021 17:10,Comerica Park,Detroit Tigers,Kansas City Royals,1 - 2
